Phage_cluster_7	gp18 tail sheath protein
Phage_cluster_8	terminase subunit for DNA packaging, nuclease and ATPase
Phage_cluster_15	portal vertex protein of the head
Phage_cluster_19	gp23 major capsid protein
Phage_cluster_23	putative large subunit terminase
Phage_cluster_28	tail tube monomer
Phage_cluster_34	large terminase subunit protein
Phage_cluster_41	T7-like tail tubular protein B
Phage_cluster_58	phage terminase, large subunit, PBSX family
Phage_cluster_62	putative portal protein
Phage_cluster_77	putative portal protein
Phage_cluster_83	putative terminase
Phage_cluster_90	phage capsid vertex
Phage_cluster_99	phage terminase large subunit GpA putative structural protein
Phage_cluster_108	putative major tail protein
Phage_cluster_115	tail tube protein A
Phage_cluster_155	major capsid protein 10A
Phage_cluster_154	portal protein
Phage_cluster_161	probable terminase
Phage_cluster_176	phage capsid and scaffold protein
Phage_cluster_204	baseplate tail tube cap
Phage_cluster_211	putative portal protein
Phage_cluster_236	putative major tail protein
Phage_cluster_246	putative TerL large-subunit terminase
Phage_cluster_273	tail sheath protein
Phage_cluster_282	capsid protein
Phage_cluster_267	putative TerL large-subunit terminase
Phage_cluster_275	putative capsid protein
Phage_cluster_268	putative portal protein
Phage_cluster_274	capsid protein
Phage_cluster_306	putative capsid protein
Phage_cluster_316	putative terminase
Phage_cluster_324	putative major capsid protein
Phage_cluster_335	similar to phage phig1e RORF204 (minor capsid protein)
Phage_cluster_361	gp27, phage tail protein, P2 GpE family
Phage_cluster_381	gp6, major capsid protein
Phage_cluster_374	capsid protein
Phage_cluster_398	truncated terminase ATPase subunit
Phage_cluster_420	predicted phage tail tubular protein A
Phage_cluster_419	putative portal protein
Phage_cluster_431	large terminase
Phage_cluster_440	gp3, phage capsid scaffolding protein (GPO)
Phage_cluster_435	putative portal protein
Phage_cluster_450	baseplate hub subunit
Phage_cluster_439	capsid portal protein Q
Phage_cluster_441	gp2, phage major capsid protein, P2 family
Phage_cluster_471	tail sheath protein
Phage_cluster_458	terminase
Phage_cluster_483	terminase
Phage_cluster_530	putative capsid protein
Phage_cluster_531	phage tail protein X
Phage_cluster_527	major tail subunit
Phage_cluster_536	putative portal protein
Phage_cluster_539	putative major tail protein
Phage_cluster_577	putative portal protein
Phage_cluster_575	phage tail protein
Phage_cluster_592	putative terminase
Phage_cluster_602	tail protein
Phage_cluster_597	tail tube protein
Phage_cluster_600	baseplate tail tube cap
Phage_cluster_598	P2 gpU-like tail protein
Phage_cluster_570	large terminase subunit
Phage_cluster_663	virion structural protein
Phage_cluster_612	putative major capsid protein
Phage_cluster_619	portal protein
Phage_cluster_637	portal
Phage_cluster_609	putative terminase
Phage_cluster_638	major capsid subunit
Phage_cluster_639	major tail subunit
Phage_cluster_648	putative major tail protein
Phage_cluster_679	terminase
Phage_cluster_675	putative lambda family portal protein B
Phage_cluster_712	terminase DNA packaging enzyme large subunit
Phage_cluster_668	putative tail protein
Phage_cluster_681	phage major tail subunit
Phage_cluster_678	putative large subunit terminase
Phage_cluster_684	major capsid protein
Phage_cluster_744	putative portal protein
