Phage_cluster_7	intein-containing putative terminase large subunit precursor
Phage_cluster_28	terminase subunit for DNA packaging, nuclease and ATPase
Phage_cluster_36	phage capsid vertex
Phage_cluster_57	phage terminase, large subunit, PBSX family
Phage_cluster_67	gp20 head portal vertex protein
Phage_cluster_72	putative large subunit terminase
Phage_cluster_83	putative portal protein
Phage_cluster_87	T7-like tail tubular protein B
Phage_cluster_95	phage capsid protein
Phage_cluster_99	putative coat protein
Phage_cluster_98	putative tail tubular protein B
Phage_cluster_102	viral coat protein VP1
Phage_cluster_104	large terminase subunit protein
Phage_cluster_114	virion structural protein
Phage_cluster_117	major capsid protein
Phage_cluster_118	major capsid protein
Phage_cluster_120	phage portal protein
Phage_cluster_130	tail tube monomer
Phage_cluster_126	putative terminase
Phage_cluster_144	terminase, large subunit
Phage_cluster_145	putative portal protein
Phage_cluster_157	putative large subunit terminase
Phage_cluster_177	putative portal protein
Phage_cluster_179	phage terminase, large subunit, PBSX family
Phage_cluster_181	phage structural protein
Phage_cluster_200	putative tail protein
Phage_cluster_208	probable terminase
Phage_cluster_222	putative major capsid protein
Phage_cluster_224	virion structural protein
Phage_cluster_236	putative portal protein
Phage_cluster_235	tail tube protein A
Phage_cluster_245	terminase
Phage_cluster_255	putative portal protein
Phage_cluster_258	terminase
Phage_cluster_278	Gp16 type D encapsidation protein from the phi-29-like viruses
Phage_cluster_286	major tail subunit
Phage_cluster_326	major capsid protein 10A
Phage_cluster_320	putative capsid protein
Phage_cluster_328	phage terminase, large subunit, PBSX family
Phage_cluster_341	putative capsid protein
Phage_cluster_337	terminase, large subunit
Phage_cluster_338	phage terminase, large subunit, PBSX family
Phage_cluster_374	putative portal protein
Phage_cluster_373	putative minor capsid protein
Phage_cluster_375	terminase
Phage_cluster_440	putative large subunit terminase
Phage_cluster_468	P22 coat protein 5
Phage_cluster_491	phage capsid vertex
Phage_cluster_497	putative portal protein
Phage_cluster_510	tail protein
Phage_cluster_507	terminase
Phage_cluster_542	putative major tail protein
Phage_cluster_535	terminase-large subunit
Phage_cluster_555	putative terminase
Phage_cluster_570	terminase DNA packaging enzyme large subunit
Phage_cluster_564	tail sheath
Phage_cluster_563	putative portal protein
Phage_cluster_581	virion structural protein
Phage_cluster_599	putative phage tail protein
Phage_cluster_597	portal protein, partial
Phage_cluster_574	terminase subunit for DNA packaging, nuclease and ATPase
Phage_cluster_632	putative capsid protein
Phage_cluster_680	phage capsid and scaffold protein
Phage_cluster_701	putative minor capsid protein 1
Phage_cluster_685	putative portal protein
Phage_cluster_706	similar to phage phig1e RORF204 (minor capsid protein)
Phage_cluster_720	similar to portal vertex protein of head
Phage_cluster_752	gp31, phage tail protein E
Phage_cluster_743	putative portal protein
Phage_cluster_792	putative capsid protein
Phage_cluster_794	tail component protein
Phage_cluster_767	putative portal protein
Phage_cluster_793	capsid protein
Phage_cluster_806	putative capsid protein
Phage_cluster_830	major capsid protein 10A
Phage_cluster_912	tail sheath protein
Phage_cluster_854	putative large subunit terminase
Phage_cluster_889	hypothetical phage capsid protein
Phage_cluster_916	baseplate tail tube cap
Phage_cluster_900	putative major capsid protein
Phage_cluster_918	putative TerL large-subunit terminase
Phage_cluster_966	putative major capsid protein
Phage_cluster_957	gp6, major capsid protein
Phage_cluster_1039	DNA encapsidation protein
Phage_cluster_985	terminase
Phage_cluster_1064	virion structural protein
Phage_cluster_990	terminase large subunit
Phage_cluster_1045	tail sheath protein
Phage_cluster_1027	putative terminase
Phage_cluster_1057	putative portal protein
Phage_cluster_1047	putative capsid protein
Phage_cluster_986	phage terminase, large subunit, PBSX family
Phage_cluster_1171	gp2, phage major capsid protein, P2 family
Phage_cluster_1142	capsid protein
Phage_cluster_1180	baseplate hub subunit
Phage_cluster_1245	putative portal protein
Phage_cluster_1238	sheat tail protein
Phage_cluster_1244	putative capsid protein
Phage_cluster_1214	putative capsid protein
Phage_cluster_1210	terminase, large subunit
Phage_cluster_1188	putative portal protein
Phage_cluster_1241	terminase
Phage_cluster_1198	capsid portal protein Q
Phage_cluster_1225	putative minor capsid protein 1
Phage_cluster_1204	main tail protein
Phage_cluster_1222	putative major tail protein
Phage_cluster_1247	putative terminase, ATPase subunit
Phage_cluster_1360	gp3, phage capsid scaffolding protein (GPO)
Phage_cluster_1327	putative portal protein
Phage_cluster_1285	putative portal protein
Phage_cluster_1338	N4-gp56 family major capsid protein
Phage_cluster_1328	putative phage tail protein
Phage_cluster_1408	putative portal protein
Phage_cluster_1372	terminase
Phage_cluster_1438	main capsid protein
Phage_cluster_1470	putative capsid protein
Phage_cluster_1430	gp14, phage major tail tube protein
Phage_cluster_1385	putative capsid protein
Phage_cluster_1432	putative major capsid protein
Phage_cluster_1431	putative tail tube protein gpFII
Phage_cluster_1370	putative terminase
Phage_cluster_1394	major virion structural protein
Phage_cluster_1457	putative capsid protein
Phage_cluster_1427	putative major capsid protein
Phage_cluster_1599	P2 gpU-like tail protein
Phage_cluster_1526	putative portal protein
Phage_cluster_1569	virion protein
Phage_cluster_1536	putative major tail protein
Phage_cluster_1587	T7-like tubular tail B family-like protein
Phage_cluster_1495	putative phage tail component
Phage_cluster_1598	phage tail protein X
Phage_cluster_1553	main capsid protein
Phage_cluster_1564	phage major tail protein
Phage_cluster_1608	terminase large subunit
Phage_cluster_1659	putative portal protein
Phage_cluster_1703	N4 gp50-like protein
Phage_cluster_1652	putative portal protein
Phage_cluster_1610	phage terminase, large subunit, PBSX family
Phage_cluster_1666	major capsid protein
Phage_cluster_1654	putative major capsid protein
Phage_cluster_1824	major capsid protein
Phage_cluster_1744	putative large subunit terminase
Phage_cluster_1730	phage major capsid protein
Phage_cluster_1807	putative major tail protein
Phage_cluster_1791	putative portal protein
Phage_cluster_1872	portal protein
Phage_cluster_1819	main capsid protein
Phage_cluster_1876	putative portal protein
Phage_cluster_1897	portal protein
Phage_cluster_2053	predicted phage capsid scaffolding protein
Phage_cluster_1893	phage terminase, large subunit, PBSX family
Phage_cluster_1948	putative RNA ligase/tail attachment protein
Phage_cluster_1989	PblB-like tail protein
Phage_cluster_2008	portal protein
Phage_cluster_2021	putative major tail protein
Phage_cluster_2010	minor capsid protein
Phage_cluster_2014	putative major capsid protein
Phage_cluster_2315	major tail structural protein
Phage_cluster_2217	putative capsid protein, major protein 2 (MP2)
Phage_cluster_2244	major tail subunit
Phage_cluster_2218	putative capsid protein, major protein 1 (MP1)
Phage_cluster_2294	major capsid subunit
Phage_cluster_2198	phage major tail protein
Phage_cluster_2181	major tail protein
Phage_cluster_2197	putative major tail protein
Phage_cluster_2235	putative major tail shaft protein
Phage_cluster_2090	putative portal protein
Phage_cluster_2224	putative phage tail protein
Phage_cluster_2259	putative capsid protein
Phage_cluster_2327	terminase, large subunit
Phage_cluster_2561	putative major tail protein
Phage_cluster_2478	tail protein
Phage_cluster_2614	portal
Phage_cluster_2493	capsid protein
Phage_cluster_2324	terminase
Phage_cluster_2502	tail sheath protein
Phage_cluster_2487	phage capsid protein
Phage_cluster_2467	tail sheath
Phage_cluster_2441	main capsid protein
Phage_cluster_2784	putative tail component protein
Phage_cluster_2854	major tail protein
Phage_cluster_2747	Phage terminase
Phage_cluster_2917	putative portal protein
Phage_cluster_2720	putative capsid protein
Phage_cluster_2701	putative terminase large subunit
Phage_cluster_2914	tail protein
Phage_cluster_2721	putative capsid protein
Phage_cluster_2739	putative lambda family portal protein B
Phage_cluster_2810	portal
Phage_cluster_2770	predicted phage tail tubular protein A
Phage_cluster_2930	phage major tail subunit
Phage_cluster_3274	putative phage tail protein
Phage_cluster_3296	Major capsid protein
Phage_cluster_3143	portal protein
Phage_cluster_3172	tail tuber protein A
Phage_cluster_3234	T7-like tail tubular protein B
Phage_cluster_3299	major capsid protein
Phage_cluster_3235	tail sheath protein
Phage_cluster_3363	major capsid protein
Phage_cluster_3200	putative portal protein
Phage_cluster_3444	putative tail protein
Phage_cluster_3176	putative tail protein
Phage_cluster_3144	putative large subunit terminase
Phage_cluster_3114	putative major capsid protein
Phage_cluster_3293	putative tail protein
Phage_cluster_3467	virion structural protein
Phage_cluster_4036	putative phage tail protein
Phage_cluster_3470	phage terminase, large subunit, PBSX family
Phage_cluster_3604	putative phage major tail protein
Phage_cluster_4012	potenial virion protein
Phage_cluster_3754	portal protein
Phage_cluster_3696	putative portal protein
Phage_cluster_3468	virion structural protein
Phage_cluster_3735	tail tube protein
Phage_cluster_3916	putative major tail protein
Phage_cluster_3646	tail protein
Phage_cluster_3813	putative minor capsid protein 4
Phage_cluster_3600	major capsid protein
Phage_cluster_3523	Major capsid protein precursor
Phage_cluster_4014	virion structural protein
Phage_cluster_3802	MuV-like tail protein
Phage_cluster_3791	bacteriophage major tail protein
Phage_cluster_3621	P22 coat protein
Phage_cluster_3558	tail sheath protein
Phage_cluster_3796	putative portal protein
Phage_cluster_4204	virion structural protein
Phage_cluster_4819	major spike protein
Phage_cluster_4795	virion structural protein
Phage_cluster_4061	putative major capsid protein
Phage_cluster_4799	phage virion structural protein
Phage_cluster_4530	putative major capsid protein
Phage_cluster_4801	virion structural protein
Phage_cluster_4277	major capsid protein
Phage_cluster_4393	putative major capsid protein
Phage_cluster_4182	capsid protein
Phage_cluster_4095	putative portal protein
Phage_cluster_4639	putative major capsid protein
Phage_cluster_4690	phage major tail protein
Phage_cluster_4266	putative portal protein
Phage_cluster_4820	minor spike protein
Phage_cluster_4438	putative phage capsid protein
Phage_cluster_4278	capsid protein
Phage_cluster_4447	putative major capsid protein
Phage_cluster_4495	major tail protein
Phage_cluster_4800	virion structural protein
Phage_cluster_4647	virion structural protein
Phage_cluster_4519	putative capsid protein
Phage_cluster_4301	phage major capsid protein
Phage_cluster_4701	putative structural protein
Phage_cluster_5212	virion structural protein
Phage_cluster_4870	terminase
Phage_cluster_5377	putative major tail protein
Phage_cluster_5417	portal protein
Phage_cluster_5762	tail protein
Phage_cluster_4902	putative portal protein
Phage_cluster_5200	gene transfer aget (GTA) orfg9-like phage major tail protein
Phage_cluster_5991	putative virion structural protein
Phage_cluster_4876	portal protein
Phage_cluster_5871	tail sheath
Phage_cluster_5205	putative tail component
Phage_cluster_5864	virion structural protein
Phage_cluster_5201	putative capsid protein
Phage_cluster_5761	major tail subunit
Phage_cluster_5257	phage major tail protein
Phage_cluster_5375	putative major tail protein
Phage_cluster_5532	major capsid protein
Phage_cluster_5109	terminase-large subunit
Phage_cluster_5099	portal protein
Phage_cluster_5251	putative phage portal protein
Phage_cluster_5821	virion structural protein
Phage_cluster_5105	putative terminase large subunit
Phage_cluster_5385	putative tail protein
Phage_cluster_5856	tail sheath
Phage_cluster_5862	virion structural protein
Phage_cluster_5754	putative major tail protein
Phage_cluster_5421	major tail protein
Phage_cluster_5396	phi13 family phage major tail protein
Phage_cluster_5771	baseplate tail tube cap
Phage_cluster_5108	putative portal protein
Phage_cluster_5654	major capsid protein
Phage_cluster_5802	phage structural protein
Phage_cluster_5855	tail tube
Phage_cluster_5990	virion structural protein
Phage_cluster_7521	putative virion structural protein 7
Phage_cluster_6310	putative capsid protein
Phage_cluster_6191	phage portal protein
Phage_cluster_6671	capsid protein
Phage_cluster_7317	putative major tail protein
Phage_cluster_6577	putative major tail protein
Phage_cluster_6313	major capsid protein precursor
Phage_cluster_6767	virion structural protein
Phage_cluster_5995	large subunit terminase
Phage_cluster_7522	virion structural protein
Phage_cluster_6788	putative major capsid protein
Phage_cluster_6156	tail protein
Phage_cluster_7041	putative major capsid protein
Phage_cluster_7077	putative coat protein
Phage_cluster_6215	tail tube protein
Phage_cluster_6819	major tail protein 1
Phage_cluster_7507	portal
Phage_cluster_7388	putative capsid protein
Phage_cluster_5999	putative terminase large subunit
Phage_cluster_6246	minor virion protein
Phage_cluster_7251	orf11
Phage_cluster_7332	virion structural protein
Phage_cluster_7449	putative tail sheath
Phage_cluster_7165	tail component protein
Phage_cluster_6600	putative portal protein
Phage_cluster_6032	virion structural protein
Phage_cluster_7506	capsid protein
Phage_cluster_6297	putative portal protein
Phage_cluster_6420	putative phage terminase large subunit
Phage_cluster_7327	major capsid protein
Phage_cluster_5996	terminase, large subunit
Phage_cluster_7692	virion structural protein
Phage_cluster_6218	phage tail protein
Phage_cluster_7227	capsid protein
Phage_cluster_7134	phage structural protein
Phage_cluster_7216	putative major tail protein
Phage_cluster_6807	phage capsid protein
Phage_cluster_7520	phage virion structural protein
Phage_cluster_6447	putative portal protein
Phage_cluster_7753	putative virion structural protein 11
Phage_cluster_6601	phage portal protein
Phage_cluster_6665	possible phage tail protein
Phage_cluster_6608	major tail protein
Phage_cluster_7243	portal protein
Phage_cluster_6158	putative portal protein
Phage_cluster_6137	putative portal protein
Phage_cluster_7540	portal protein
Phage_cluster_6417	putative tail protein
Phage_cluster_6513	putative minor capsid protein 2
Phage_cluster_7370	major tail protein
Phage_cluster_7330	virion structural protein
Phage_cluster_6598	minor capsid protein
Phage_cluster_7279	Major capsid protein
Phage_cluster_8917	capsid protein gpE
Phage_cluster_8795	minor capsid protein
Phage_cluster_10265	putative minor capsid protein
Phage_cluster_8558	major capsid protein
Phage_cluster_8838	putative tail component
Phage_cluster_10037	virion structural protein
Phage_cluster_8765	putative major tail protein
Phage_cluster_9590	putative structural protein
Phage_cluster_9344	putative major capsid protein
Phage_cluster_10510	putative minor capsid protein
Phage_cluster_8992	putative tail protein
Phage_cluster_8840	main tail protein
Phage_cluster_10040	virion structural protein
Phage_cluster_8855	portal protein
Phage_cluster_10114	terminase
Phage_cluster_8862	minor capsid protein
Phage_cluster_9777	putative minor coat protein
Phage_cluster_8880	major capsid protein
Phage_cluster_8697	putative tail tubular A protein
Phage_cluster_8853	putative portal protein
Phage_cluster_8394	putative phage tail protein
Phage_cluster_9619	putative tail tube protein
Phage_cluster_10120	putative trimeric spike protein
Phage_cluster_9949	G III capsid protein precursor
Phage_cluster_9639	putative major tail protein
Phage_cluster_7956	probable terminase
Phage_cluster_9773	putative tail protein
Phage_cluster_8856	major tail protein
Phage_cluster_9888	phage structural protein
Phage_cluster_8966	minor capsid protein
Phage_cluster_8591	putative major capsid protein
Phage_cluster_10193	putative coat protein
Phage_cluster_10039	phage virion structural protein
Phage_cluster_10027	putative portal protein
Phage_cluster_9766	virion structural protein
Phage_cluster_8859	putative major capsid protein
Phage_cluster_9618	tail sheath
Phage_cluster_8741	putative phage tail protein
Phage_cluster_10422	virion structural protein
Phage_cluster_10049	major capsid protein
Phage_cluster_9769	virion structural protein
Phage_cluster_9117	portal protein
Phage_cluster_10205	putative minor capsid protein 1
Phage_cluster_9592	putative structural protein
Phage_cluster_10355	terminase
Phage_cluster_10010	tail tube
Phage_cluster_8120	portal protein
Phage_cluster_8370	putative terminase large subunit
Phage_cluster_9966	major tail subunit
Phage_cluster_9882	putative tail component
Phage_cluster_10561	putative virion structural protein 14
Phage_cluster_8908	putative portal protein
Phage_cluster_10119	putative pentameric base spike protein
Phage_cluster_8487	portal
Phage_cluster_10258	capsid protein
Phage_cluster_10118	putative major capsid protein
Phage_cluster_9125	putative portal protein
Phage_cluster_10556	tail baseplate
Phage_cluster_9767	virion structural protein
Phage_cluster_7766	putative major capsid
Phage_cluster_10043	virion structural protein
Phage_cluster_13652	coat protein
Phage_cluster_12203	putative portal protein
Phage_cluster_15418	putative tail protein
Phage_cluster_11851	putative tail tube protein 2
Phage_cluster_14380	tail sheath
Phage_cluster_13256	putative major capsid protein
Phage_cluster_14495	putative major tail protein
Phage_cluster_13511	virion structural protein
Phage_cluster_11451	phage tail protein
Phage_cluster_12116	major tail protein
Phage_cluster_13243	portal protein
Phage_cluster_14756	minor capsid protein
Phage_cluster_14847	capsid protein VP2
Phage_cluster_14106	phage structural protein
Phage_cluster_12410	capsid protein gpE
Phage_cluster_14237	minor coat protein
Phage_cluster_13683	tail protein
Phage_cluster_14886	tail protein
Phage_cluster_10659	large terminase subunit
Phage_cluster_11188	putative terminase
Phage_cluster_10961	baseplate tail tube cap
Phage_cluster_11549	fiber tail protein
Phage_cluster_14381	putative virion structural protein
Phage_cluster_11418	putative tail tube protein (T4 gp19-like)
Phage_cluster_10594	putative capsid protein
Phage_cluster_15634	putative virion structural protein 11
Phage_cluster_11653	tail protein
Phage_cluster_12438	putative phage tail sheath protein
Phage_cluster_14370	putative minor capsid protein
Phage_cluster_14848	capsid protein VP5
Phage_cluster_11397	virion structural protein
Phage_cluster_14916	tail tube protein
Phage_cluster_13972	Putative tail protein
Phage_cluster_15630	capsid protein
Phage_cluster_11705	tail sheath
Phage_cluster_15163	virion structural protein
Phage_cluster_12049	putative portal protein
Phage_cluster_14838	capsid protein VP1
Phage_cluster_11321	virion structural protein
Phage_cluster_14397	virion structural protein
Phage_cluster_14845	capsid protein VP4
Phage_cluster_14401	putative virion structural protein 18
Phage_cluster_14860	putative capsid protein VP18
Phage_cluster_14067	baseplate hub subunit
Phage_cluster_11412	major capsid subunit precursor
Phage_cluster_14931	putative terminase
Phage_cluster_11012	virion structural protein
Phage_cluster_15162	virion structural protein
Phage_cluster_14363	capsid protein gpD
Phage_cluster_13524	virion structural protein
Phage_cluster_10828	phage structural protein
Phage_cluster_14849	capsid protein VP10
Phage_cluster_14392	virion structural protein
Phage_cluster_14389	putative virion structural protein 1
Phage_cluster_14936	virion structural protein
Phage_cluster_14844	capsid protein VP12
Phage_cluster_12038	bacteriophage tail protein gpT
Phage_cluster_14391	phage virion structural protein
Phage_cluster_14950	virion structural protein
Phage_cluster_13555	putative capsid protein
Phage_cluster_13770	putative phage terminase large subunit
Phage_cluster_15024	virion structural protein
Phage_cluster_11869	putative encapsidation protein
Phage_cluster_14235	major tail shaft protein
Phage_cluster_15158	gp19 tail tube protein III
